rank,university,位置,score,logo_path,logo_url
101-150,岭南大学（香港）,香港,,logos_cn/岭南大学（香港）-m.jpg,https://www.qschina.cn/sites/default/files/lingnan-university-hong-kong_894_small.jpg
101-150,南洋理工大学,新加坡,,logos_cn/南洋理工大学-m.jpg,https://www.qschina.cn/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg
101-150,大阪大学,日本,,logos_cn/大阪大学-m.jpg,https://www.qschina.cn/sites/default/files/osaka-university_472_small.jpg
101-150,宾夕法尼亚州立大学,美国,,logos_cn/宾夕法尼亚州立大学-m.jpg,https://www.qschina.cn/sites/default/files/pennsylvania-state-university_494_small.jpg
101-150,女王大学,加拿大,,logos_cn/女王大学-m.jpg,https://www.qschina.cn/sites/default/files/queens-university-at-kingston_513_small.jpg
101-150,波恩大学,德国,,logos_cn/波恩大学-m.jpg,https://www.qschina.cn/sites/default/files/rheinische-friedrich-wilhelms-universitt-bonn_592560cf2aeae70239af4ac1_small.jpg
101-150,赖斯大学,美国,,logos_cn/赖斯大学-m.jpg,https://www.qschina.cn/sites/default/files/rice-university_524_small.jpg
101-150,萨皮恩扎 - 罗马大学,意大利,,logos_cn/萨皮恩扎 - 罗马大学-m.jpg,https://www.qschina.cn/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_small.jpg
101-150,索邦大学,法国,,logos_cn/索邦大学-m.jpg,https://www.qschina.cn/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg
101-150,斯德哥尔摩大学,瑞典,,logos_cn/斯德哥尔摩大学-m.jpg,https://www.qschina.cn/sites/default/files/stockholm-university_577_small.jpg
101-150,成均馆大学,韩国,,logos_cn/成均馆大学-m.jpg,https://www.qschina.cn/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg
101-150,雪城大学,美国,,logos_cn/雪城大学-m.jpg,https://www.qschina.cn/sites/default/files/syracuse-university_812_small.jpg
101-150,特拉维夫大学,以色列,,logos_cn/特拉维夫大学-m.jpg,https://www.qschina.cn/sites/default/files/tel-aviv-university_592560cf2aeae70239af4cde_small.jpg
101-150,阿德莱德大学,澳大利亚,,logos_cn/阿德莱德大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-adelaide_10_small.jpg
101-150,墨尔本大学,澳大利亚,,logos_cn/墨尔本大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-melbourne_399_small.jpg
101-150,新南威尔士大学（UNSW）,澳大利亚,,logos_cn/新南威尔士大学（UNSW）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg
101-150,诺丁汉大学,英国,,logos_cn/诺丁汉大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-nottingham_592560cf2aeae70239af4c4e_small.jpg
101-150,昆士兰大学（UQ）,澳大利亚,,logos_cn/昆士兰大学（UQ）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-queensland_515_small.jpg
101-150,墨西哥国立自治大学,墨西哥,,logos_cn/墨西哥国立自治大学-m.jpg,https://www.qschina.cn/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_small.jpg
101-150,意大利天主教圣心大学,意大利,,logos_cn/意大利天主教圣心大学-m.jpg,https://www.qschina.cn/sites/default/files/universitcattolica-del-sacro-cuore_406_small.jpg
101-150,都灵大学（UNITO）,意大利,,logos_cn/都灵大学（UNITO）-m.jpg,https://www.qschina.cn/sites/default/files/university-of-turin_632_small.jpg
101-150,汉堡大学,德国,,logos_cn/汉堡大学-m.jpg,https://www.qschina.cn/sites/default/files/universitt-hamburg_592560cf2aeae70239af4b79_small.jpg
101-150,康斯坦茨大学,德国,,logos_cn/康斯坦茨大学-m.jpg,https://www.qschina.cn/sites/default/files/universitt-konstanz_323_small.jpg
101-150,庞培法布拉大学,西班牙,,logos_cn/庞培法布拉大学-m.jpg,https://www.qschina.cn/sites/default/files/universitat-pompeu-fabra_504_small.jpg
101-150,弗里堡大学,瑞士,,logos_cn/弗里堡大学-m.jpg,https://www.qschina.cn/sites/default/files/universit-de-fribourg_1603_small.jpg
101-150,蒙特利尔大学,加拿大,,logos_cn/蒙特利尔大学-m.jpg,https://www.qschina.cn/sites/default/files/universit-de-montral_417_small.jpg
101-150,卑尔根大学,挪威,,logos_cn/卑尔根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-bergen_53_small.jpg
101-150,伯明翰大学,英国,,logos_cn/伯明翰大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-birmingham_59_small.jpg
101-150,卡尔加里大学,加拿大,,logos_cn/卡尔加里大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-calgary_592560cf2aeae70239af4ad5_small.jpg
