rank,university,位置,score,logo_path,logo_url
101-150,诺丁汉大学,英国,,logos_cn/诺丁汉大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-nottingham_592560cf2aeae70239af4c4e_small.jpg
101-150,谢菲尔德大学,英国,,logos_cn/谢菲尔德大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-sheffield_592560cf2aeae70239af4cb1_small.jpg
101-150,清华大学,中国(大陆),,logos_cn/清华大学-m.jpg,https://www.qschina.cn/sites/default/files/tsinghua-university_626_small.jpg
101-150,马德里自治大学,西班牙,,logos_cn/马德里自治大学-m.jpg,https://www.qschina.cn/sites/default/files/universidad-autnoma-de-madrid_379_small.jpg
101-150,洛斯安第斯哥伦比亚大学,哥伦比亚,,logos_cn/洛斯安第斯哥伦比亚大学-m.jpg,https://www.qschina.cn/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_small.jpg
101-150,金边大学,巴西,,logos_cn/金边大学-m.jpg,https://www.qschina.cn/sites/default/files/universidade-estadual-de-campinas-unicamp_96_small.jpg
101-150,里约热内卢联邦大学,巴西,,logos_cn/里约热内卢联邦大学-m.jpg,https://www.qschina.cn/sites/default/files/universidade-federal-do-rio-de-janeiro_525_small.jpg
101-150,威尼斯大学,意大利,,logos_cn/威尼斯大学-m.jpg,https://www.qschina.cn/sites/default/files/ca-foscari-university-of-venice_764_small.jpg
101-150,佛罗伦萨大学,意大利,,logos_cn/佛罗伦萨大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-florence_208_small.jpg
101-150,帕多瓦大学（UNIPD）,意大利,,logos_cn/帕多瓦大学（UNIPD）-m.jpg,https://www.qschina.cn/sites/default/files/universitdi-padova_480_small.jpg
101-150,巴塞罗那自治大学,西班牙,,logos_cn/巴塞罗那自治大学-m.jpg,https://www.qschina.cn/sites/default/files/universitat-autnoma-de-barcelona_592560cf2aeae70239af4ab0_small.jpg
101-150,巴塞罗那大学,西班牙,,logos_cn/巴塞罗那大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg
101-150,法兰克福大学,德国,,logos_cn/法兰克福大学-m.jpg,https://www.qschina.cn/sites/default/files/universitt-frankfurt-am-main_214_small.jpg
101-150,弗莱堡大学,德国,,logos_cn/弗莱堡大学-m.jpg,https://www.qschina.cn/sites/default/files/albert-ludwigs-universitaet-freiburg_216_small.jpg
101-150,汉堡大学,德国,,logos_cn/汉堡大学-m.jpg,https://www.qschina.cn/sites/default/files/universitt-hamburg_592560cf2aeae70239af4b79_small.jpg
101-150,Université PSL,法国,,logos_cn/Université PSL-m.jpg,https://www.qschina.cn/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg
